idx,mapel,id,topik,tingkat,teks,A,B,C,D,kunci,bobot,sumber
95,ekonomi,,umum,,"Pelaku ekonomi ini memiliki peran, antara lain:

1) Menyediakan faktor produksi.
2) Menggunakan barang atau jasa.

Pelaku ekonomi yang dimaksud adalah….",Rumah tangga produsen,Rumah tangga konsumen,Pemerintah,Luar negeri,B,1,
96,ekonomi,,umum,,"Perhatikan pernyataan berikut ini!

(1) Mnejalankan usaha secara berkala
(2) Mendapat izin dari pemerintah setempat.
(3) Mempunyai susunan organisasi yang jelas
(4) Menjalankan usaha produksi barang dan jasa.

Dari pernyataan di atas, yang termasuk dalam persyaratan menjadi perusahaan, yaitu...","1, 2, dan 3",1 dan 3,2 dan 4,4,D,1,
97,ekonomi,,umum,,Inti masalah ekonomi adalah....,Kebutuhan manusia yang bisa dipenuhi dengan kerja,Kebutuhan manusia dan uang sebagai alat pemuasnya,Kebutuhan manusia dan alat pemuas kebutuhan,Kebutuhan manusia dalam mencapai kepuasan hidup,C,1,
98,ekonomi,,umum,,"Jurnal untuk mencatat pemberian jasa kepada pelanggan secara kredit sebesar Rp8.000,00 adalah....","Kas di debit Rp8.000,00 utang di kredit Rp8.000,00","Piutang usaha di debit Rp8.000,00 , pendapatan jasa di kredit Rp8.000,00","Piutang usaha di debit Rp8.000,00, kas di kredit Rp8.000,00","Kas di debit Rp8.000,00, pendapatan jasa di kredit Rp8.000,00",B,1,
99,ekonomi,,umum,,Yang tidak termasuk pajak dalam negeri adalah ….,Pajak Pertambahan Nilai,Pajak Bumi Bnagunan,Pajak Pengahasilan,Cukai,E,1,
100,ekonomi,,umum,,"APBN merupakan instrument untuk mengendalikan perekonomian saat terjadinya inflasi atau deflasi. Hal ini menggambarkan fungsi APBN, yaitu …",Alokasi,Distribusi,Realokasi,Stabilisasi,D,1,
101,fisika,,umum,,"Kabel lift yang memiliki luas penampang 5 cm2 digunakan untuk menahan lift dengan berat 20.000 N. Jika tegangan maksimal kabel tersebut adalah 5000 N/cm2, maka percepatan maksimal lift adalah . . .","2,0 m/s2","2,5 m/s2","12,5 m/s2","22,5 m/s2",B,1,
102,fisika,,umum,,Besarnya gaya yang bekerja tiap satu satuan luas penampang disebut .....,Regangan,Tegangan,Elastis,Gaya Pegas,B,1,
103,fisika,,umum,,Warna bunyi yang dihasilkan oleh sumber ditentukan oleh . . .,Amplitudo,Bentuk gelombang,Tinggi nada,Frekuensi,D,1,
104,fisika,,umum,,Alat yang bekerja berdasarkan prinsip hukum Archimedes adalah ….,pompa air,talang air,kapal laut,dongkrak,C,1,
105,fisika,,umum,,"Alat ukut yang memiliki ketelitian 0,01 mm adalah ....",Jangka sorong,Mistar,Mikrometer Sekrup,Neraca,C,1,
106,fisika,,umum,,"Sebuah balok bergerak dengan kecepatan v serta memiliki energi kinetik Ek, jika kecepatan balok dibuat menjadi 2v, maka energi kinetiknya menjadi …",Ek,2 Ek,3 Ek,4 Ek,D,1,
107,fisika,,umum,,1 g/cm = .... kg/m,100,1.000,10.000,100.000,B,1,
108,fisika,,umum,,Hukum gerak Newton menjelaskan aspek tentang…..,Kehidupan Manusia,Gerak Penari,Gerak Planet,Gerak Benda,D,1,
109,fisika,,umum,,"Berikut merupakan bagian dari elektroskop, kecuali......",kepala,tangkai,muatan listrik,kaki,C,1,
110,fisika,,umum,,Sebuah balok bermassa 400 gram dijatuhkan dari ketinggian 2 m ke permukaan tanah. Jika pada permukaan tanah terdapat pegas dengan konstanta100 N/m maka pegas akan tertekan sebesar .....,"0,1 m","0,2 m","0,3 m","0,4 m",D,1,
111,fisika,,umum,,"Seutas tali yang panjangnya 3 m, salah satu ujungnya dibiarkan bebas pada suatu tiang dan ujung lainnya digetarkan secara teratur sehingga terbentuk 8 perut gelombang stasioner. Letak simpul ketiga dari sumber getar adalah.....","2,5 m","2,0 m","1,5 m","1,0 m",B,1,
112,fisika,,umum,,Massa 20 Kg jika dinyatakan dalam satuan mg adalah ....,2.000 mg,20.000 mg,20.000.000 mg,2.000.000 mg,C,1,
113,fisika,,umum,,"Massa diam suatu benda mo dan massa bergeraknya m. Apabila benda itu bergerak dengan kecepatan 0,6 c dimana c = laju cahaya dalam ruang hampa, maka hubungan mo dan m yang benar adalah …","mo = 1,25 m","mo = 0,8 m","mo = 1,0 m","mo = 0,5 m",B,1,
114,fisika,,umum,,"Jika sebuah benda di permukan bumi dipindahkan ke planet Mars, maka yang tidak mengalami perubahan adalah …",Berat benda,Massa benda,Massa dan berat benda,Potensi grafitasi pada benda,B,1,
115,fisika,,umum,,"Hasil pengukuran panjang dan lebar sebidang tanah berbentuk empat persegi panjang adalah 15,35 m dan 12,5 m. Luas tanah menurut aturan angka penting adalah ...","191,875 m2","191,88 m2","191,87 m2","191,9 m2",E,1,
116,fisika,,umum,,Sebuah mobil menempuh jarak 360 km dengan kecepatan 20 m/s. Berapakah waktu yang diperlukan mobil untuk menempuh jarak tersebut?,4 Jam,5 Jam,6 Jam,7 Jam,B,1,
117,fisika,,umum,,"Seutas dawai panjangnya 80 cm, massanya 0,016 kg, dan teganganya 800 N. Frekuensi nada dasar yang dihasilkan adalah ....",100 Hz,125 Hz,200 Hz,300 Hz,C,1,
118,fisika,,umum,,"Sebuah benda jatuh bebas dari ketinggian 20 meter, benda tersebut memiliki energi kinetik awal sebesar 40 joule. Berapakah kecepatan benda pada ketinggian 10 meter jika massa benda tersebut 1 kg? (g = 10 m/s2)",2√70 m/s,3√70 m/s,4√70 m/s,5√70 m/s,A,1,
119,fisika,,umum,,Kekentalan zat cair dapat disebut pula dengan .....,Miniskus,Kapilaritas,Konstanta air,Tegangan permukaan,E,1,
120,fisika,,umum,,"Pemanas listrik memiliki resistansi 25 ohm, terhubung ke sumber tegangan 250 volt dan bekerja selama 24 jam. maka:
(1) Arus yang mengalir dalam pemanas adalah 10 amp
(2) kekuatan pemanasan 2,5 kWatt
(3) Ketika tarif listrik RP. 50,00 / kWh, saat ini harganya Rp 300,00

Pernyataan yang benar adalah …",1 dan 2,1 dan 3,2 dan 3,1,A,1,
121,geografi,,umum,,Berikut ini yang merupakan daerah persebaran biama hutan gugur adalah ....,Afrika Selatan,Asia Timur,Australia,Eropa,A,1,
122,geografi,,umum,,Gejala geografi dalam kehidupan sehari-hari yang sangat membantu para nelayan tradisional adalah….,angin,awan,kabut,vulkanisme,A,1,
123,geografi,,umum,,Proses terbentuknya batu bara yang dilakukan oleh bakteri anaerob dan sisa tumbuh-tumbuhan yang menjadi keras karena beratnya sendiri disebut proses ....,metamorfosis,biokimia,sedimentasi,metabolisme,B,1,
124,geografi,,umum,,Bentuk gempa tektonik yang terjadi di Palu pada 29 September 2018 sehingga menyebabkan likuifaksi adalah…,Sesar geser,Konvergen,Gempa longsoran,Divergen,A,1,
125,geografi,,umum,,Arah yang menunjukan lereng yang landai pada gambar di bawah ini adalah nomor….,1,2,3,4,B,1,
126,geografi,,umum,,"Keberadaan sumber daya batu bara berkaitan erat dengan morfogenesa bentuk medan suatu wilayah.

SEBAB

Cebakan batu bara di Indonesia pada umumnya dijumpai di wilayah endapan batuan vulkanik zaman pratersier.","Jika pernyataan benar, alasan benar, dan keduanya menunjukkan hubungan sebab akibat","Jika pernyataan benar, alasan benar, tetapi keduanya tidak menunjukkan hubungan sebab dan akibat",Jika pernyataan benar dan alasan salah,Jika pernyataan salah dan alasan benar,C,1,
127,geografi,,umum,,Bahan galian yang terjadi pada batuan sekitar magma yang bersentuhan dengan magma dan barubah menjadi material ekonomik termasuk bahan galian ....,pematit,sekunder,hidrotermal,endapan,E,1,
128,geografi,,umum,,"Di daerah padang pasir banyak ditemukan berbagai macam jenis tanaman xerofit, diantaranya ....",pinus,kaktus,lumut,kelapa,B,1,
129,geografi,,umum,,Ada sebuah peta berskala 1:200.000. Peta tersebut termasuk jenis ....,peta tematik,peta kadaster,peta berskala besar,peta berskala menengah,D,1,
130,geografi,,umum,,"Pada peta topografi dengan interval kontur 25 meter, tergambar dua bukit dengan jarak antara puncak satu dengan lainnya 20 cm. Jarak lurus di lapang antara kedua puncak bukit tersebut adalah ...",1 km,5 km,10 km,15 km,C,1,
131,geografi,,umum,,"Setiap jenis hewan dan tumbuhan tersebar tidak merata di berbagai tempat di permukaan bumi.
SEBAB
Setiap jenis hewan dan tumbuhan mempunyai habitat yang sesuai dengan persyaratan hidupnya.","Jika pernyataan benar, alasan benar, dan keduanya menunjukkan hubungan sebab akibat","Jika pernyataan benar, alasan benar, tetapi keduanya tidak menunjukkan hubungan sebab dan akibat",Jika pernyataan benar dan alasan salah,Jika pernyataan salah dan alasan benar,A,1,
132,geografi,,umum,,"Petani padi di Indonesia biasanya akan mulai menanam tanamannya pada akhir bulan November. Kemudian, mereka akan memanen hasilnya pada bulan April. Pola penanaman padi tersebut sangat berkaitan dengan ….",pola angin muson yang berhembus di Indonesia,peningkatan suhu permukaan laut di Samudra Pasifik,kejadian upwelling di laut Indonesia,posisi astronomis Indonesia,A,1,
133,geografi,,umum,,"Negera X diketahui memiliki jumlah penduduk usia 0-14 tahun sebanyak 1.000.000, jumlah pendudukusia 65 ke atas 600.000, jumlah penduduk usia 15-64 tahun adalah 2.000.000, berarti angka ketergantungannya adalah ....",8,80,30,800,B,1,
134,geografi,,umum,,Transmigrasi yang dilaksanakan atas kemauan atau kehendakan sendiri dengan biaya sendiri disebut transmigrasi ....,umum,spontan,swakarya,sektoral,B,1,
135,geografi,,umum,,Pertumbuhan penduduk alami (natural increase) dapat diketahui dengan menggunakan rumus ....,Pn = Po + (L - M),Pn = Po - (L - M),Pn = Po - (L + M),Pn = Po x (L - M),A,1,
136,geografi,,umum,,Tahapan-tahapan dalam penggunaan peta adalah….,"penggambaran peta, pembacaan peta, dan analisis peta","pembacaan peta, analisis peta, dan interprestasi peta","analisis, deteksi, dan interprestasi","analisis, deteksi, dan identifikasi",B,1,
137,geografi,,umum,,"Pembangunan kawasan permukiman yang dilengkapi dengan pembangunan fasilitas umum, infrastruktur di wilayah perkotaan terus dikembangkan. Pembangunan juga melibatkan wilayah sekitar.
Pendekatan geografi untuk pelaksanaan kegiatan tersebut adalah ...",Pendekatan spasial,Pendekatan kelingkungan,Pendekatan kompleks wilayah,Pendekatan ekologi,C,1,
138,geografi,,umum,,Manakah pernyataan berikut yang benar terkait siklus batuan?,Batuan tidak terpengaruh oleh pelapukan dan erosi,Pelapukan dan erosi berperan dalam perubahan batuan metamorf kembali menjadi magma,Pelapukan dan erosi hanya memengaruhi batuan sedimen di permukaan bumi,Pelapukan dan erosi memengaruhi semua jenis batuan di bawah permukaan bumi,E,1,
139,geografi,,umum,,Data yang dibutuhkan untuk pembuatan peta sebaran kepadatan penduduk suatu kota adalah...,jumlah penduduk dan luas pembagian wilayah,komposisi dan persebaran penduduk,jumlah dan sebaran penduduk,luas wilayah dan jumlah penduduk,A,1,
140,geografi,,umum,,Palung Mariana adalah dasar laut yang paling dalam di bumi. Palung tersebut terbentuk akibat tumbukan lempeng…,Palawan dan Zamboaga,Pasifik dan Filipina,Indo – Australia x Eurasia,Pasifik dan Indo Australia,B,1,
141,ipa,,umum,,"Planet-planet bergerak mengelilingi matahari, karena …",orbit planet berbentuk elips,pengaruh hukum keppler,gaya magnet matahari,ya gravitasi matahari,D,1,
142,ipa,,umum,,Tumbuhan lamtoro pada malam hari /keadaan gelap akan melakukan respon ....,daunnya menggulung,bunganya menguncup/tidur,daunnya menguncup/tidur,bunganya berguguran,C,1,
143,ipa,,umum,,Kendaraan-kendaraan berikut yang paling ramah lingkungan adalah ….,bus dengan mesin diesel,bus dengan mesin motor listrik,pesawat dengan bahan bakar avtur,motor dengan bahan bakar minyak bumi,B,1,
144,ipa,,umum,,Termometer Fahrenheit Titik tetap bawah diberi angka 32 dan titik tetap atas diberi angka ....,100,357,212,75,C,1,
145,ipa,,umum,,Salah satu manfaat tanaman brotowali yaitu untuk mengobati....,alergi dan mimisan,mimisan reumatik,mimisan dan demam,reumatik dan demam,D,1,
146,ipa,,umum,,zat hijau daun pada tumbuhan disebut juga?,daun lebar,klorofil,tangkai,ranting,B,1,
147,ipa,,umum,,Tumbuhan perintis yang membantu dalam proses pelapukan adalah ….,rumput teki,lumut kerak,tumbuhan paku,tumbuhan berbunga,B,1,
148,ipa,,umum,,"Mangga manis berbuah besar memiliki genotype MMBb, gamet untuk genotip tersebut adalah….",MB,Mb,"MB, Mb","MB, Mb, mB, bb",C,1,
149,ipa,,umum,,"Pada proses pertumbuhan dan perkembangan sperma, sel haploid dimulai pada tahapan..",sprematogonium,sprematosit primer,spermatosit sekunder,spermatid,A,1,
150,ipa,,umum,,Jika otot bisep relaksasi maka dapat menyebabkan gerakan lengan bawah ….,"ekstensi, lengan bawah menekuk","fleksi, lengan bawah menekuk","ekstensi, lengan bawah lurus","fleksi, lengan bawah lurus",C,1,
151,ipa,,umum,,Fungsi dari amnion adalah …,melindungi embrio dari guncangan,pertukaran zat antara ibu dan janin,memberi makan dan oksigen pada embrio,melindungi ibu hamil,A,1,
152,ipa,,umum,,"Perhatikan pernyataan di bawah ini :
1) Kelapa jatuh dari pohonnya.
2) Mendorong meja.
3) Magnet menarik paku kecil yang jatuh.
4) Kuda menarik gerobak
Peristiwa tersebut yang berhubungan dengan gaya tak sentuh adalah ...",1 dan 2,2 dan 3,3 dan 1,3 dan 4,C,1,
153,ipa,,umum,,Peralatan rumah tangga yang mengubah energi listrik menjadi energi gerak adalah ….,Magic jar,Mixer,Rice cooker,Oven,B,1,
154,ipa,,umum,,Kemampuan untuk melakukan suatu usaha atau kerja disebut ....,kerja,otot,energi,usaha,C,1,
155,ipa,,umum,,"Berdasarkan jenis makanannya, hewan dapat dikelompokkan dalam ...",Dua golongan,Tiga golongan,Empat golongan,Lima golongan,C,1,
156,ipa,,umum,,Berikut ini merupakan contoh perubahan fisika adalah….,besi menjadi berkarat,es menjadi cair,kayu menjadi arang,CO2 dipecah menjadi O2,B,1,
157,ipa,,umum,,Tanaman yang ditanam untuk  dijadikan sebagai hiasan pekarangan rumah dinamakan ...,tanaman bunga,tanaman indah,tanaman obat,tanaman hias,D,1,
158,ipa,,umum,,Diantara syarat sebuah satuan bisa menjadi satuan Internasional adalah ....,Bersifat tetap dan berlaku dimana saja,Bersifat tetap dan berlaku di negara tertentu,Berubah-ubah sifatnya dan mudah diingat,Berlaku dimana saja dan bersifat mudah diubah-ubah nilainya,A,1,
159,ipa,,umum,,Salah satu pemanfaatan air oleh manusia adalah untuk pembuatan pembangkit tenaga listrik. Pembangkit tenaga listrik itu dinamakan ...,PLTU,PLTSa,PLTA,PLTN,C,1,
160,ipa,,umum,,Gaya yang terjadi pada benda yang elastis adalah....,Gaya otot,gaya magnet,Gaya gravitasi,Gaya pegas,D,1,
161,ips,,umum,,Sungai terpanjang di Indonesia adalah Sungai ...,Kapuas,Barito,Musi,Bengawan Solo,A,1,
162,ips,,umum,,Tanah sekitar Gunung berapi sangat subur karena ....,mengandung belerang,mengandung lumpur,mengandung abu vulkanik,,C,1,
163,ips,,umum,,Berikut ini yang tidak termasuk faktor-faktor yang mendasari terbentuknya interaksi sosial:,simpati,imitasi,antipati,motivasi,C,1,
164,ips,,umum,,Pengalaman yang bisa didapat bersama ibu adalah ....,menonton sepak bola,memancing,membuat kue,,C,1,
165,ips,,umum,,"Faktor yang memengaruhi kebutuhan di bawah ini tepat, kecuali…",Jenis kelamin,Pendidikan,Keinginan,Kemajuan iptek,C,1,
166,ips,,umum,,Seorang guru mengajar siswa-siswanya di dalam kelas. Hal ini termasuk contoh dari interaksi sosial..........,individu dengan individu,seseorang dengan seseorang,individu dengan kelompok,kelompok dengan kelompok,C,1,
167,ips,,umum,,"Sebagai konsumen, rumah tangga konsumsi berperan dalam mengonsumsi barang dan jasa yang dihasilkan oleh rumah tangga produksi. Rumah tangga konsumsi mengonsumsi barang dan jasa bertujuan untuk …..",Diproduksi lebih lanjut,Memperoleh dan menikmati daya guna yang maksimal,Memenuhi kebutuhan hidupnya,Menghabiskan pendapatan guna memperoleh kepuasan,C,1,
168,ips,,umum,,Kesultanan Islam di Indonesia yang didirikan oleh Raden Patah adalah…,Samudera Pasai,Aceh Darussalam,Makassar,Demak,D,1,
169,ips,,umum,,Tiang bendera Merah Putih sekolah biasanya diletakkan di ...,Belakang ruang kelas,Depan gudang sekolag,Pagar sekolah,Halaman utama sekolah,D,1,
170,ips,,umum,,Jenis tanaman yang ada di daerah pantai yang sangat berguna untuk mencegah abrasi gelombang laut adalah  . . . .,pandan,jati,ketapang,bakau,D,1,
171,ips,,umum,,Bangunan untuk menyimpan berbagai peninggalan sejarah disebut . . . .,prasasti,istana,situs,museum,D,1,
172,ips,,umum,,Salah satu negara di Asia yang jumlah penduduknya terbanyak adalah ....,India,Indonesia,China,Jepang,C,1,
173,ips,,umum,,Negara ini mendapat sebutan “Macan Asia” kecuali ….,Jepang,Korea Selatan,Singapura,Malaysia,D,1,
174,ips,,umum,,Berikut ini yang merupakan perusahaan BUMN adalah..,PT Maju Lancar,Mandala Airlines,Bank Central Asia,Bank Indonesia,D,1,
175,ips,,umum,,Sungai terpanjang di Afrika adalah sungai ....,Niger,Zambesi,Congo,Nil,D,1,
176,ips,,umum,,Denah ruangan kelas menunjukkan ...,Tempat buku-buku,Tempat bunga-bunga,Tempat bermain di dalam kelas,Tempat duduk siswa,D,1,
177,ips,,umum,,Manakah yang merupakan peta wilayah kota?,peta Indonesia,peta sumatera,peta bogor,,C,1,
178,ips,,umum,,Kegiatan menyalurkan barang-barang kebutuhan dari produsen kepada konsumen dinamakan kegiatan ...,konsumsi,distribusi,produksi,ekspedisi,B,1,
179,ips,,umum,,Unit pengolahan minyak di Indonesia yang menjadi pelopor dimulainya eksplorasi minyak di Indonesia adalah ....,Pangkalan Brandan,Dumai,Cilacap,Balikpapan,A,1,
180,ips,,umum,,Orang yang tidak suka kerjasama di lingkungan masyarakat maka akan ...,Memiliki sedikit teman,Diidolakan masyarakat,Disukai masyarakat,Dibenci masyarakat,D,1,
181,kesenian,,umum,,Nama interval dari do ke do tinggi disebut ...,Prim,Oktaf,Sekon,Terts,C,1,
182,kesenian,,umum,,Dalam kebiasaan sehari-hari lagu tradisional dari Jawa selalu menggunakan nada ...,Diatonis,Diatonis kromatis,Pentatonis,Pentatonis kromatis,C,1,
183,kesenian,,umum,,"Berikut ini ciri lagu daerah yang merupakan warisan lagu tradisi turun-temurun, kecuali ...",Lagu dan musik bersifat sederhana,Jarang diketahui nama pencipta lagu,Ciri isi lagu sesuai keadaan budaya tetangga,Menggambarkan kehidupan masyarakat,C,1,
184,kesenian,,umum,,"Pada suatu pengelolaan produksi teater modern, sutradara bertanggung jawab kepada ...",artis pendukung,manajer tekhnik,stage manajer,manajer artistik,E,1,
185,kesenian,,umum,,"Alat musik gamelan selain digunakan mengiringi tarian dan pertunjukan wayang, juga digunakan untuk upacara ...",Adat,Penutupan,Pembukaan,Bendera,A,1,
186,kesenian,,umum,,"Musik Huda merupakan gabungan dari tiga jenis musik tradisional Minangkabau, seperti Dikil Rabaro, Salaulaik Dulang, dan Dikil Mundan (kesemuanya musik bernuansa Islami). Musik jenis ini menunjukkan adanya fungsi musik sebagai ...",Sarana ekspresi diri,Ritual,Media hiburan yang bersifat komersil,Sarana komunikasi,B,1,
187,kesenian,,umum,,Penggunaan latar belakang panggung dalam suatu pementasan dengan menggunakan back drop dan cyclorama dalam pementasan teater modern disebut ...,decorative scenery,descriptiv scenary,atmosphere scenary,natural background,D,1,
188,kesenian,,umum,,Kata lain yang sama dengan flora adalah ...,Hewan,Alam benda,Tumbuhan,Manusia,C,1,
189,kesenian,,umum,,"Karya merupakan cerminan dari imajinasi dan emosi penciptanya. Dalam berkarya seni tari terdapat 7 tahap proses perencanaan karya tari yaitu
1) Ide
2) Judul
3) Bentuk penyajian
4) Musik pengiring
5) Waktu
6) Tata rias dan busana
7) Tempat
Hasil dari imajinasi koreografer memunculkan gagasan tema yang direncanakan sehingga dapat menceritakan isi didalamnya dengan memberikan nama tarian. hal ini merupakan proses ...",Ide,Judul,Bentuk penyajian,Waktu,B,1,
190,kesenian,,umum,,Berikut ini yang termasuk warna tersier adalah ...,Merah,Kuning,Jingga,Jingga Kekuningan,D,1,
191,kesenian,,umum,,Kegiatan untuk menampilkan sebuah hasil seni kriya kepada publik disebut ...,Pergelaran,Pameran,Lelang,Seminar,B,1,
192,kesenian,,umum,,"Gender adalah alat musik gamelan yang memiliki tiga macam nada (titi laras), yaitu ...","Slendro, panunggul, dan barung","Slendro, pangkon, dan barung","Panunggul, slendro, dan pangkon","Slendro, pelog burung, dan penerus",E,1,
193,kesenian,,umum,,Teknik yang digunakan dalam berkarya seni rupa tiga dimensi seperti patung disesuaikan dengan bahan yang digunakan dan dapat memberikan karakteristik yang khas. Mengolah bahan yang berupa beberapa bagian atau bilah biasanya menggunakan teknik ...,Cor,Pahat,Membentuk,Inlay,B,1,
194,kesenian,,umum,,"Untuk menggambar komik dibutuhkan beberapa syarat antara lain kemampuan dalam menggambar dan menyusun kata-kata. Selain kemampuan tersebut, ada beberapa langkah yang harus dilalui dalam menggambar komik, urutan langkahnya adalah ...","Menentukan topik dan tujuan, membuat kalimat singkat dan mudah diingat, menggunakan gambar, menggunakan media yang tepat","Membuat kalimat singkat dan mudah diingat, menentukan topik dan tujuan, menggunakan gambar, menggunakan media yang tepat","Menentukan topik dan tujuan, menggunakan gambar, membuat kalimat singkat dan mudah diingat, menggunakan media yang tepat","Membuat kalimat singkat dan mudah diingat, menggunakan gambar, menentukan topik dan tujuan, menggunakan media yang tepat.",A,1,
195,kesenian,,umum,,Orang yang bertanggungjawab dalam membukukan dan mencatat semua kegiatan yang berhubungan dengan pergelaran adalah ...,Ketua,Business manager,House manager,Stage manager,E,1,
196,kesenian,,umum,,Tugas seorang manajemen produksi pertunjukan adalah ...,mengatur segala hal yang diperlukan pada produksi seni teater,merencanakan sebuah pertunjukan,pemimpin dalam pementasan,mendanai setiap kegiatan pertunjukan,A,1,
197,kesenian,,umum,,Berikut ini manakah kelompok warna yang termasuk warna primer ...,"Hijau, ungu, dan jingga","Merah, kuning, dan biru","Merah, biru, dan putih",Hitam dan putih,B,1,
198,kesenian,,umum,,"Kain yang direntangkan dengan nama pameran, tempat, dan waktu pameran disebut ...",Umbul-umbul,Poster,Spanduk,Undangan,C,1,
199,kesenian,,umum,,Motif batik Mega Mendung merupakan ciri dari motif batik dari kota ...,Indramayu,Pekalongan,Cirebon,Solo,C,1,
200,kesenian,,umum,,"Seorang pemain teater harus kuat, lentur, dan menarik. Hal tersebut harus dilatih melalui teknik ...",Olah pikir,Olah tubuh,Olah suara,Olah raga,B,1,
201,kimia,,umum,,senyawa berikut yg termasuk alkena adalah...,C3H8,C4H6,C5H10,C6H14,C,1,
202,kimia,,umum,,Unsur-unsur lantai tanah alkali memiliki sifat kimia yang hampir sama karena.,Jumlah elektronnya sama,Jumlah elektron di dua orbital luar sama,Jumlah elektron di kulit terluarnya sama,Jumlah protonnya sama,D,1,
203,kimia,,umum,,"Suatu cuplikan hanya mengandung unsur nitrogen dan oksigen. Bila dalam 152 gram cuplikan terdapat 56 gram nitrogen, maka rumus empiris
senyawa tersebut adalah ....
(ArN:14, O:16)",N2O5,N2O3,N2O,NO2,B,1,
204,kimia,,umum,,"fraksi mol larutam 36 y glukosa (C6H22O6) dalam 90 g air (H2O) adalah... (Ar C= 12 g/mil, Ar O = 16 g/mol, Ar H = 1 g/mol)","0,960","0,400","0,040","0,038",C,1,
205,kimia,,umum,,"Konfigurasi elektron:
X = [Ne] s2 p5
Y = [Ne] s2 p3

Jika unsur X dan Y bersenyawa, bentuk molekul senyawa yang terjadi adalah...",jungkat-jungkit,bentuk V,piramida segitiga,bujur sangkar,C,1,
206,kimia,,umum,,diantara pernyataan mengenai unsur halogen berikut ini yg salah adalah...,fluor dan klor berwujud gas,asam terlemah adalah HF,titik didih asam halida tertinggi adalah HF,kemampuan mengoksidasi menurun sebanding dengan kenaikan nomor atom,E,1,
207,kimia,,umum,,"Penambahan 81 mg Na2CrO4 (Mr=162) ke dalam 1 L larutan yang mengandung Ba(NO3)2 dan Pb(NO3)2 masing-masing dengan konsentrasi 0,01 M menghasilkan…. (Ksp BaCrO4 = 2×10-10, PbCrO4 = 1,8 × 10-14)
(1) PbCrO4
(2) BaCrO4
(3) Endapan berwarna kuning muda
(4) Endapan garam rangkap","Jika (1), (2), dan (3) benar",Jika (1) dan (3) benar,Jika (2) dan (4) benar,Jika hanya (4) yang benar,A,1,
208,kimia,,umum,,Efek penghamburan cahaya dari lampu mobil oleh partikel dalam kabut disebut…..,Elektroforesis,Gerak Brown,Efek Tyndall,Adsorpsi,C,1,
209,kimia,,umum,,"Diantara reaksi (belum setara) berikut, yang merupakan reaksi reduksi-oksidasi adalah...
1. Ca(OH)2(aq) + H2SO4(aq) → CaSO4(s) + 2H2O(l)
2. Pb(s) + H2SO4(aq) → PbSO4(s) + H2O(l)
3. H2S(aq) + CdCl2(aq) → HCl(aq) + CdS (s)
4.NaCl(aq) + F2(g) → NaF(aq) + Cl2 (g)","Jika (1), (2), dan (3) benar",Jika (1) dan (3) benar,Jika (2) dan (4) benar,Jika hanya (4) yang benar,C,1,
210,kimia,,umum,,"Gas Y dapat dihasilkan dari reaksi berikut :
NO2(g) + H2O(l) →X(l) + Y(g)
sebanyak 20 g gas Y dihasilkan dari reaksi antara 16 L gas NO2 dgn air berlebih. Jika pada keadaan ini 0,8 g gas CH4 (Mr =16) memiliki volume 1,2 L, maka massa molekul relatif (Mr) gas Y adalah...",16,28,30,32,C,1,
211,kimia,,umum,,"Sejumlah 7,5 mmol Ba(OH)2 direaksikan dengan 50 mL H3PO4 0,15 M menurut reaksi (belum setara) berikut

Ba(OH)2(s) + H3PO4(aq) → Ba3(PO4)2(s) + H2O(l)

Konsentrasi H3PO4 setelah reaksi adalah...","0,125 M","0,100 M","0,075 M","0,050 M",D,1,
