idx,mapel,id,topik,tingkat,teks,A,B,C,D,kunci,bobot,sumber
212,kimia,,umum,,"Dalam kalorimeter sederhana (kapasitas kalornya diabaikan) dilarutkan 11,9 g KBr (Mr = 119) ke dalam 188,1 mL air. Kalor pelarutan KBr adalah +20 kJ.mol^-1. Temperatur sistem kalorimeter turun dari 27,5 C menjadi 25 C. Kalor jenis larutan KBr yang terbentuk dalam J.g^-1C^-1 adalah...","2,7","3,6","4,0","4,5",C,1,
213,kimia,,umum,,"larutan 10 mL H2SO4 0,05 M mempunyai pH sebesar...",1- log 1,2- log 5,4- log 5,5- log 4,A,1,
214,kimia,,umum,,"H2SO4 dapat dibuat melalui reaksi berikut ini : SO2 + O2+ H2O → H2SO4(belum setara)} Sebanyak 400 g SO2, 175 g O2, dan 125 g H2O (Ar H = 1; O = 16; S = 32)} direaksikan pada wadah tertutup. Massa H2O yang tersisa adalah ….","75,7 g","56,3 g","49,2 g","26,5 g",E,1,
215,kimia,,umum,,Reaksi berikut ini yang tidak menghasilkan gas hidrogen adalah …,Al + HCl,Fe + H2SO4 encer,Sn + HCl,Cu + H2SO4 encer,D,1,
216,kimia,,umum,,"Berikut adalah beberapa reaksi redoks:
(1) MnO4- → MnO2
(2) Zn → ZnO2-
(3) 2CO2 → C2O42-
(4) Cr2O3 → CrO42-

Peristiwa reduksi terdapat pada reaksi…..",(1) dan (2),(1) dan (3),(1) dan (4),(2) dan (4),B,1,
217,kimia,,umum,,"Suatu produk rumah tangga mengandung bahan aktif benzalkonium klorida. Pada konsentrasi berlebih, dapat mengiritasi kulit dan jika mengenai mata akan menyebabkan gangguan seperti gatal bahkan dapat menyebabkan kerusakan pada kornea.Produk rumah tangga yang dimaksud adalah ____",Pengawet,Pembersih,Pemutih,Pewangi,B,1,
218,kimia,,umum,,"minyak kelapa jika disimpan di udara terbuka lambat laun akan berbau tengik
SEBAB
Minyak kelapa mengandung ester gliseril trioleat yg mempunyai ikatan rangkap","Pernyataan benar, sebab benar dan saling berhubungan","Pernyataan benar, sebab benar, tetapi tidak berhubungan","Pernyataan benar, sebab salah","Pernyataan salah, sebab benar",A,1,
219,kimia,,umum,,"Sebanyak 4,16 gram gas A terbentuk dari reaksi antara 1 liter gas NO2 dan gas O2 berlebih menurut reaksi
4NO2(g) + O2(g) → 2A(g)
Jika reaksi tersebut berlangsung pada suhu 30 C dengan tekanan 2 atm, maka massa molekul relatif gas A adalah .... (R=0,082 liter atm/mol K)",76,104,112,224,B,1,
220,kimia,,umum,,Interaksi antarmolekul pelarut dengan zat terlarut yang terjadi pada larutan NaCl dalam H2O adalah...,gaya london,ikatan hidrogen,dipol terinduksi - dipol permanen,dipol permanen - dipol permanen,E,1,
221,penjaskes,,umum,,Awalan lompat jauh dapat dimasukkan sebagai berikut:,Dilakukan dalam langkah-langkah panjang.,Dilakukan pada kecepatan tercepat,Selesaikan paling lambat,Dilakukan dengan kecepatan tercepat,D,1,
222,penjaskes,,umum,,Salah satu teknik dasar bola basket adalah ….,Sliding,Dribbling,Kicking,Stopping,B,1,
223,penjaskes,,umum,,"Permainan bola basket adalah permainan yang dimainkan oleh dua tim, dan masing-masing tim terdiri dari ….",3 pemain,5 pemain,6 pemain,9 pemain,B,1,
224,penjaskes,,umum,,Gerakan yang dominan dilakukan dalam permainan sepak bola adalah ....,Menendang bola,Menahan Bola,Menggiring Bola,Menyundul Bola,C,1,
225,penjaskes,,umum,,Yang termasuk jenis kelompok ganja adalah….,Narkotik,Marijuana,Antatonim,Anabolik,B,1,
226,penjaskes,,umum,,Nomor-nomor lari jarak pendek yang di perlombakan adalah….,"200 m, 300 m, 400 m","100 m, 200 m, 400 m","100 m, 200 m, 800 m","200 m, 400 m, 800 m",B,1,
227,penjaskes,,umum,,Teknik melempar bola dari atas kepala dalam permainan bola basket disebut ....,Chest pass,Shooting,Lay up,Bounce pass,E,1,
228,penjaskes,,umum,,Tujuan utama menerapkan pola serangan dalam permainan sepak bola adalah …,Tubuh sehat,Permainan menjadi kreatif,Letakkan bola di gawang lawan,Pertahankan supaya tak kebobolan,C,1,
229,penjaskes,,umum,,Posisi kaki saat memulai langkah lompat jauh adalah ….,Tubuh condong dan kaki serta lengan belakang terayun ke depan,Tubuh lebih tegak dan kaki belakang dan lengan diayun ke depan,Tubuh dimiringkan,Tubuh lebih mengayun ke depan,D,1,
230,penjaskes,,umum,,"Dalam pertandingan sepak bola, gunakan punggung kaki dan kaki bagian dalam Anda untuk melewati pemain lawan yang bernama …",Dribble,Hentikan bola,Tendang bola,Mengoper bola,A,1,
231,penjaskes,,umum,,Gerakan renang gaya dada yang menghasilkan dorongan maju pada gerakan lengan adalah ….,meluncur,mendayung,mendorong,mencambuk,E,1,
232,penjaskes,,umum,,"Perhatikan teknik dasar berikut!

(1) Menendang, menyundul, dan memukul
(2) Melempar, menangkap, dan memukul
(3) Melempar, menyundul, dan memukul
(4) Melempar, menangkap, dan melambung.

Teknik dasar dari permainan kasti ditunjukkan oleh nomor ....",(1),(2),(3),(4),B,1,
233,penjaskes,,umum,,Sikap posisi kaki yang benar saat melakukan persiapan teknik servis tangan bawah adalah ....,posisi kaki kanan ke depan,kedua tumit kaki diputar,posisi kaki kiri agak ke depan,kaki menyilang,C,1,
234,penjaskes,,umum,,Cara menjaga pembusukan dari kerusakan adalah …,Pembusukan tidak menempel di telapak tangan Anda.,Jari-jari direntangkan di pegangan,Jari kelingking terentang,Penghapus diterapkan pada ibu jari,B,1,
235,penjaskes,,umum,,Menyundul bola dengan baik harus menggunakan…..,Bagian atas kepala,Bagian belakang kepala,Leher,Dahi,D,1,
236,penjaskes,,umum,,"Salah satu bentuk latihan aerobik yang khas, yaitu ….",judo,sepak bola,penahan,joging,D,1,
237,penjaskes,,umum,,"Perhatikan pernyataan-pernyataan berikut ini yang merupakan variasi gerak spesifik permainan bola basket.

1)      Berdiri dengan sikap melangkah.
2)      Badan agak condong ke depan.
3)      Berat badan tertumpu pada kaki depan.
4)      Menggiring bola sambil berjalan, dilanjutkan dengan lari (menggunakan tangan kanan dan kiri).
5)      Pembelajaran dilakukan secara perorangan atau kelompok.
6)      Pembelajaran dilakukan sejauh 20 – 30 meter

Berdasarkan pernyataan-pernyataan di atas, gerakan tersebut merupakan variasi gerak spesifik menggiring bola . . . .",menggiring bola mengikuti teman yang di depannya,menggiring bola menitari bendara,menggiring bola sambil berjalan,menggiring bola sambil berjalan dan berlari,D,1,
238,penjaskes,,umum,,Sikap badan yang benar saat menahan bola dengan telapak kaki adalah ....,condong ke depan,condong ke belakang,condong ke samping,condong dan membungkuk ke depan,A,1,
239,penjaskes,,umum,,Arah tolakan persiapkan kedua kaki saat Anda menekan game voli. ….,Lurus ke depan,tegak lurus keatas,Ke atas ke depan,ke samping,B,1,
240,penjaskes,,umum,,Contoh kombinasi gerakan dasar lokomotor dan manipulatif adalah ....,berjalan dilanjutkan berlari,melempar dilanjutkan menangkap bola,berjalan dilanjutkan menangkap bola,melempar dilanjutkan berlari,C,1,
241,ppkn,,umum,,"Bertutur kata yang sopan, tidak meludah di sembarang tempat , merupakan contoh penerapan dari norma .....",Norma agama,Norma kesopanan,norma hukum,Norma kesusilaan,B,1,
242,ppkn,,umum,,"Bunyi kalkson yang keluar dari kendaraan bermotor sering memancing emosi. Pasalnya pengemudi lain merasa tersinggung dengan klakson yang dibunyikan berulang dengan tujuan untuk meminta jalur. Bahkan gara-gara bunyi klakson perkelahian antar pengemudi terjadi. Jika dikaitkan dengan nilai keadilan Pancasila,kasus tersebut tidak akan terjadi apabila .....",Pemerintah peka terhadap keinginan warga negara,Masyarakat mengetahui hak dan kewajiban pemerintah,Pemerintah memberikan kebebasan kepada warga negara,Warga negara melaksanakan hak dan kewajibanya,D,1,
243,ppkn,,umum,,"Perhatikan pernyataan berikut in :
1. Presiden                      4. DPRD
2. Gubernur                    5. MPR
3. BPK                  6. Bupati
Dari pernyataan tersebut, yang merupakan lembaga negara di tingkat pusat ditunjukkan nomor.....","1, 2 dan 3","1, 3 dan 5","2, 4 dan 6","4, 5 dan 6",B,1,
244,ppkn,,umum,,Dasar Negara Indonesia merdeka ditetapkan pada tanggal ....,17 Agustus 1945,18 Agustus 1945,19 Agustus 1945,20 Agustus 1945,B,1,
245,ppkn,,umum,,Bekerja bersama-sama untuk mencapai suatu hasil dan tujuan yang didambakan adalah pengertian .....,Kerja bersama,Gotong royong,Usaha bersama,Diskusi bersama,B,1,
246,ppkn,,umum,,Norma yang bersumber dari pergaulan hidup yang berupa kebiasaan – kebiasaan masyarakat yang mengatur kehidupan kelompoknya disebut .....,Norma kesopanan,norma kesusilaan,norma agama,norma hukum,A,1,
247,ppkn,,umum,,Rancangan peraturan daerah setelah melalui proses pengajuan dibahas dalam ...,Sidang Paripurna DPRD,Sidang Paripurna DPR,Sidang Paripurna MPR,Sidang Paripurna MK,A,1,
248,ppkn,,umum,,Berikut yang bukan termasuk macam-macam hak asasi UU No. 39 tahun 1999 adalah ....,Hak untuk hidup,Hak mengembangkan diri,Hak memperoleh keadilan,Hak menyakiti perasaan orang lain,D,1,
249,ppkn,,umum,,"Kerja sama dalam mengusir penjajah untuk meraih kemerdekaan tanpa dibatasi oleh perbedaan suku bangsa, adat istiadat, agama merupakan bukti kemampuan bangsa Indonesia dalam hal .....",Berkompromi dengan penjajah,Berdialog dengan penjajah,Mempersatukan perbedaan yang ada,Membentuk organisasi politik,C,1,
250,ppkn,,umum,,Seseorang yang dianggap menjadi warga negara dengan sendirinya tanpa melakukan hukun tertentu disebut .....,naturalisasi,repudiasi,opsi,stelsel pasif,D,1,
251,ppkn,,umum,,Masalah kewarganegaraan Republik Indonesia yang baru diatur dalam UU Nomor 12 Tahun 2006 tentang...,Pewarganegaraan Republik Indonesia,Berkebangsaan Republik Indonesia,Tata Cara Menjadi Warga Negara Republik Indonesia,Kewarganegaraan Republik Indonesia,D,1,
252,ppkn,,umum,,Contoh praktek monopolistis dan konglomerasi pada masa pemerintahan Orde Baru merupakan penyimpangan di bidang ....,politik,ekonomi,hukum,sosial budaya,B,1,
253,ppkn,,umum,,Sila pancasila yang mengandung makna keadilan yang memberi pertimbangan bahwa hak milik berfungsi sosial adalah sila ....,Pertama,Kedua,Ketiga,Keempat,E,1,
254,ppkn,,umum,,Alat musik daerah yang memiliki bentuk berbeda-beda dan dimainkan oleh beberapa orang dan telah diakui oleh PBB (UNESCO) sebagai warisan budaya Bangsa Indonesia adalah .....,Angklung.,Kolintang.,Gamelan.,Wayang Kulit.,A,1,
255,ppkn,,umum,,Kekuasaan  tersebut tetap ada sepanjang negara tetap. berdiri walaupun pemerintah sudah berganti. Pernyataan tersebut merupakan sifat kedaulatan yang....,Asli,Tunggal,Permanen,Tak terbatas,C,1,
256,ppkn,,umum,,"Budaya politik dimana tingkat partisipasi politik masyarakat sangat tinggi, merupakan jenis budaya politik….",Kaula,Pasif,Parokhial,Aktif,E,1,
257,ppkn,,umum,,Suatu pemerintahan dikatakan demokratis apabila dalam mekanisme pemerintahan nya diwujudkan ….,asas-asas demokrasi,bentuk-bentuk demokrasi,kendala-kendala demokrasi,tujuan-tujuan demokrasi,E,1,
258,ppkn,,umum,,"Dalam negara demokrasi, ada empat kebebasan yang sangat penting, yaitu kebebasan ...","mengeluarkan pendapat, bertindak, beribadah dan berkumpul","berperang, pers, mengeluarkan pendapat dan berkumpul","berperang, pers, beribadah dan berkumpul","beragama. Pers, mengeluarkan pendapat dan berperang",E,1,
259,ppkn,,umum,,Ancaman terhadap Negara di bidang budaya dapat terjadi karena adanya:,keberagaman budaya yang diakui dan dihormati,kerja sama budaya dengan negara lain,pendidikan yang mencerdaskan kebudayaan,pelestarian warisan budaya,E,1,
260,ppkn,,umum,,"Panitia Persiapan Kemerdekaan Indonesia (PPKI) mengadakan sidang pada tanggal 18 Agustus 1945, dan menghasilkan keputusan sebagai berikut, kecuali .....",menetapkan UUD 1945,memilih Presiden dan wakil presiden (Ir. Soekarno dan Mohammad Hatta),membentuk Komite Indonesia Pusat,kembali ke UUD 1945,D,1,
261,sejarah,,umum,,Jaminan yang diberikan kepada para pemuda di Rengasdengklok sehingga mereka sepakat untuk membawa Soekarno-Hatta kembali ke Jakarta adalah ....,proklamasi akan disusun dalam sidang PPKI,para pemuda akan diikutsertakan dalam pemerintahan,pemerintah akan mewujudkan masyarakat adil dan makmur,proklamasi akan dilaksanakan selambat-lambatnya tangga 17 Agustus 1945,D,1,
262,sejarah,,umum,,Peninggalan Hindu dan Buddha salah satunya berupa kitab. Kitab Arjunawiwaha karya....,Empu Kanwa,Empu Sedah,Empu Barada,Empu Monaguna,A,1,
263,sejarah,,umum,,"Sebagai sebuah sumber sejarah, tradisi lisan memiliki fungsi penting bagi masyarakat, kecuali....",melukiskan kondisi fakta mental masyarakat,menunjukkan keturunannya yang berasal dari dewa-dewi,menunjukkan simbol identitas masyarakat,merupakan simbol solidaritas masyarakat,A,1,
264,sejarah,,umum,,Latar belakang dihapuskannya sistem tanam adalah karena….,terjadi bahaya kelaparan di beberapa daerah seperti di Cirebon tahun 1843,adanya desakan dari kaum humanis Belanda yang mengetahui ada praktik tanam paksa yang merugikan rakyat koloni,"seperlima tanah garapan rakyat yang ditanami, wajib ditanami dengan jenis tanaman ekspor",para pekerja diharuskan bekerja dengan waktu lebih lama untuk mengurus tanaman ekspor daripada mengurus padi,B,1,
265,sejarah,,umum,,"Latar belakang lahirnya Revolusi Perancis adalah adanya ketidakadilan politik. Hal ini ditunjukkan oleh pernyataan ....
1. Adanya larangan menyampaikan pendapat di muka umum
2. Pemilihan pegawai-pegawai pemerintahan berdasarkan keturunan, bukan berdasarkan profesi atau keahlian
3. Adanya pembedaan daerah tempat tinggal berdasarkan pada status sosial dalam masyarakat Perancis
4. Masyarakat kecil tidak diperkenankan untuk berpartisipasi dalam kegiatan pemerintahan","Jika 1, 2, dan 3 benar",Jika 1 dan 3 benar,Jika 2 dan 4 benar,Jika hanya 4 yang benar,C,1,
266,sejarah,,umum,,"Berdasarkan catatan dari Cina, wilayah kerajaan Sriwijaya meliputi Sumatera dan ….",Semenanjung Malaya,Seluruh Pulau Jawa,Sulawesi,Bali,A,1,
267,sejarah,,umum,,Pelaksanaan jajak pendapat bagi warga Timor Timur di seluruh dunia dilaksanakan pada masa pemerintahan ....,Soeharto,B. J. Habibie,Abdurrahman Wahid,Megawati Soekarnoputri,B,1,
268,sejarah,,umum,,Candi berikut merupakan peninggalan kerajaan Mataram dari Dinasti....,Sanjaya,Syailendra,Isyana,Buddha,B,1,
269,sejarah,,umum,,"Ketika menduduki Indonesia, Jepang menerapkan sistem autarki, maksudnya adalah....",sistem ekonomi yang setiap daerah mencukupi kebutuhan perangnya,sistem ekonomi yang berdasarkan asas- asas paham sosialis,sistem ekonomi yang mendasari pada kepentingan rakyat banyak,"sistem ekonomi yang otoriter, dan semua diatur oleh pemerintah",A,1,
270,sejarah,,umum,,"Penyebaran agama Islam yang dilakukan oleh Wali Songo mudah diterima oleh masyarakat Jawa pada abad ke-15 hingga abad ke-16 karena melalui....
1. Mubalig yang didatangkan dari Timur Tengah
2. Ajaran Tasawuf
3. Ajaran Ijtihad
4. Kesenian","Jika 1, 2, dan 3 benar",Jika 1 dan 3 benar,Jika 2 dan 4 benar,Jika hanya 4 yang benar,C,1,
271,sejarah,,umum,,"Pak Bedu akan menulis historiografi terkait peranan Dewi Sartika pada masa Pergerakan Nasional. Setelah melakukan kegiatan heuristik, beliau menemukan beberapa sumber seperti:
a. Raden Dewi Sartika, sang Perintis: sebuah biografi pahlawan nasional karya Yan Daryono
b. Dewi Sartika karya Rochiati Wiriaatmadja
Berdasarkan sumber tersebut, apabila dikaitkan dengan sudut pandang pembuat sumber dapat kita analisis jika ….",Penulis sumber mendapatkan dari orang lain,Perjuangan Dewi Sartika tak lekang oleh waktu,Sumber tersebut dapat diakses oleh banyak orang,Penulis sumber mendapatkan informasi secara langsung,A,1,
272,sejarah,,umum,,Masa keruntuhan kerajaan Majapahit terjadi setelah wafatnya….,Gajah Mada dan Hayam Wuruk,Purnawarman,Mulawarman,Mpu Tantular,A,1,
273,sejarah,,umum,,VOC mampu menguasai perdagangan cengkeh di Kepulauan Maluku Utara karena ….,mengadakan kontrak perjanjian dengan penguasa lokal,menerapkan politik adu domba,melakukan penguasaan teritorial,melakukan penaklukan terhadap penguasa lokal dan melawan,A,1,
274,sejarah,,umum,,Hubungan dagang antara masyarakat Nusantara dengan para pedagang dari wilayah Hindu-Buddha menyebabkan adanya….,asimilasi budaya,akulturasi budaya,konsilidasi budaya,adaptasi budaya,A,1,
275,sejarah,,umum,,"Pimpinan dari Gerakan DI/TII Jawa Tengah, saat itu menjabat sebagai ....","Komandan Laskar Hisbullah di front Tulangan, Sidoarjo, dan Mojokerto","Komandan Laskar Hisbullah di front Brebes, Tegal, dan Pekalongan","Komandan Laskar Hisbullah di front Aceh, Jawa Tengah, dan Jawa Barat","Komandan Laskar Hisbullah di frontBrebes,Sidoarjo, dan Mojokerto",A,1,
276,sejarah,,umum,,Prasasti pertama yang berkaitan erat dengan kerajaan Hindu ditemukan pertama kali di….,Kalimantan,Jawa Barat,Kutai,Cina,C,1,
277,sejarah,,umum,,"Berikut ini adalah berbagai persiapan PKI sebelum melancarkan pengkhianatan melalui Gerakan September 1965, kecuali ....",menggalang kekuatan massa dengan mendirikan berbagai organisasi,melakukan infiltrasi ke dalam tubuh ABRI,menyebarkan isu Dewan Jendral,membentuk Biro Khusus,A,1,
278,sejarah,,umum,,Malaka jatuh ke tangan portugis pada tahun....,1511,1522,1530,1533,A,1,
279,sejarah,,umum,,Dewan Konstituante yang dibentuk berdasarkan hasil pemilu yang pertama tahun 1955 mempunyai tugas .....,menetapkan undang-undang yang telah disusun oleh pemerintah,mengadakan pengawasan terhadap jalannya pemerintah,menyusun dan menetapkan Undang-Undang Dasar Sementara,menjalankan roda pemerintahan,E,1,
280,sejarah,,umum,,Perkembangan agama Budha di India mencapai puncak kejayaannya pada masa pemerintahan Raja Asoka dari Dinasti Maurya. Kebijakan Raja Asoka yang menandai puncak perkembangan agama Budha di India adalah ....,Memadukan ajaran agama Hindu dan Budha,Menetapkan agama Budha sebagai agama resmi negara,Memeritahkan setiap rakyat untuk memeluk agama Budha,Memerintahkan rakyat untuk meninggalkan agama Hindu,B,1,
281,sosiologi,,umum,,Penyataan yang benar dibawah ini adalah….,Kondisi yang normal dalam kehidupan sosial masyarakat disebut gejala sosial,Kemiskinan dan pengangguran adalah gejala sosial yang timbul dari faktor biologis,Penyalahgunaan obat-obatan terlarang salah satu gejala sosial yang timbul dari faktor budaya,Integrasi dapat menyebabkan gejala sosial,C,1,
282,sosiologi,,umum,,"Pelapisan sosial dengan sistem kasta dikatakan bersifat tertutup, karena ...",Kasta menjadikan seseorang menjalankan peranan dengan baik,Kasta harus diterima sebagai sebuah takdir yang harus dijalani,Tidak memberi kesempatan seseorang berpindah kasta,Kasta merupakan kedudukan manusia sesuai dengan profesinya,C,1,
283,sosiologi,,umum,,Sosialisasi adalah proses membangun/ menanamkan nilai-nilai kelompok pada diri seseorang merupakan pengertian sosialisasi menurut pendapat dari....,Macionis,Stewart,Horton & Hunt,Soerjono Soekanto,E,1,
284,sosiologi,,umum,,"Kebudayaan adalah hasil karya, rasa, cipta masyarakat merupakan pendapat dari......",Selo Soemardjan dan Soelaeman Soemardi,Koentjaraningrat,E.B. Taylor,Soerjono Soekanto,A,1,
285,sosiologi,,umum,,Nama – nama berikut ini yang bukan merupakan pengemukaka pendapat tentang Nilai adalah........,Alvin L. Bertrand,Moh. Hatta,Cylde Kluckhohn,Robin William,B,1,
286,sosiologi,,umum,,"Persaingan yang sehat diantara para pelajar untuk memperoleh ranking tertinggi, bersifat….",Progresif,Asosiatif,Asimilatif,Komparatif,E,1,
287,sosiologi,,umum,,"Seorang ketua RT menyelesaikan konflik antara dua orang tetangganya yang bertikai, dengan syarat mereka harus mematuhi hasil keputusan yang dibuat oleh ketua RT. Tindakan itu dinamakan,,,",Mediasi,Ajudikasi,Kompromi,Arbitrasi,D,1,
288,sosiologi,,umum,,"Penggunaan dengan sengaja bahan berbahaya pada kosmetik, bberupa merkuri atau logam berat lainnya dengan tujuan agar harga jualnya lebih murah, dapat dikategorikan sebagai kejahatan...",Individu,Tanpa korban,Korporasi,Lingkungan,D,1,
289,sosiologi,,umum,,"Cara pandang sosiologi dalam melihat permasalahan prostitusi yang tidak mendasarkan pada baik-buruknya, namun dengan menjelaskan fakta secara analitis, disebut....",Empiris,Teoirtis,Kumulatif,Non-etis,D,1,
290,sosiologi,,umum,,Berikut ini yang bukan merupakan norma sosial menurut bidang-bidang kehidupan tertentu adalah....,Norma cara,Norma agama,Norma kesopanan,Norma kelaziman,A,1,
291,sosiologi,,umum,,"Di kantor BUMN, ada aturan yang harus dipatuhi oleh pegawai. Setiap pagi karyawan bisa membaca peraturan yang terpasang di samping pintu masuk. Oleh karena itu, seluruh karyawan bertindak sesuai dengan ketentuan yang berlaku. Regulator dalam contoh ini adalah….",Pola,Tatanan sosial,Tatanan sosial,Keteguhan,C,1,
292,sosiologi,,umum,,"Seiring dengan perubahan masyarakat tradisional menjadi modern berkembang pula solidarittas organik menjadi mekanik.
SEBAB
Kehidupan modern ditandai oleh inovasi teknologi yang berdampak melemahnya interaksi secara langsung di antara anggota kelompok primer.","Jika pernyataan benar, alasan benar, keduanya menunjukkan hubungan sebab akibat.","Jika pernyataan benar, alasan benar, tetapi keduanya tidak menunjukkan hubungan sebab akibat.","Jika pernyataan benar, alasan salah.","Jika pernyataan salah, alasan benar.",D,1,
293,sosiologi,,umum,,Tono yang berasal dari suku Jawa bekerja di sebuah perusahaan swasta di Sumatera Selatan. Rekan-rekan sekantornya yang berbeda etnis sering bercanda menggunakan gaya bicara Tono yang masih kental dengan logat khas Jawa. Namun Tono tidak mempermasalahkan tindakan tersebut dan berusaha tetap menjaga pergaulan dengan rekan-rekannya. Konsekuensi yang ditimbulkan oleh tindakan bercanda rekan-rekan Tono tersebut adalah ....,Meningkatkan persaingan di antara rekan kerja,Meningkatkan kerjasama antar rekan kerja,Memperkuat rasa persatuan di tempat kerja,Mendorong konflik terselubung di antara rekan kerja,D,1,
294,sosiologi,,umum,,"Suatu proses sosial atau interaksi sosial disebut asosiatif, jika….",Menuju ke arah perbedaan pandangan,Tidak terjadi kesatuan pandangan,Menuju ke arah perpecahan,Menuju ke arah persatuan,D,1,
295,sosiologi,,umum,,"Perilaku menyimpang adalah perilaku yang tidak sesuai dengan nilai dan norma yang berlaku dalam masyarakat.
SEBAB
Nilai dan norma merupakan pedoman bagi perilaku masyarakat yang bersangkutan.","Jika pernyataan benar, alasan benar, keduanya menunjukkan hubungan sebab akibat.","Jika pernyataan benar, alasan benar, tetapi keduanya tidak menunjukkan hubungan sebab akibat.","Jika pernyataan benar, alasan salah.","Jika pernyataan salah, alasan benar.",A,1,
296,sosiologi,,umum,,"Peperangan, bencana alam, dan pengaruh budaya luar merupakan bentuk perubahan sosial...
(1) Internal
(2) Evolusi
(3) Revolusi
(4) Eksternal","Jika pernyataan 1,2, dan 3 benar.",Jika pernyataan 1 dan 3 benar.,Jika pernyataan 2 dan 4 benar.,Jika pernyataan 4 saja yang benar.,D,1,
297,sosiologi,,umum,,"Pemerintah mengakui bahwa urbanisasi penduduk menuju kota-kota besar di Indonesia terus terjadi, bahkan dalam jumlah jutaan. Penyebabnya, karena masih adanya kesenjangan perekonomian antara masyarakat di desa dengan masyarakat di kota. Ya kita akui itu, tapi sebenarnya tren sudah menunjukkan penurunan. Kita sudah seriusi berbagai program agar kesenjangan itu bisa diminimalisasi. Kita ingin membuat gula-gula baru tidak hanya di wilayah Jabodetabek saja, kata Menteri koordinator Bidang Perekonomian, Hatta Rajasa di Jakarta, kamis (16/9). Menurutnya, salah satu yang dilakukan pemerintah untuk mengurangi kesenjangan desa-kota adalah dengan meningkatkan perekonomian masyarakat di perdesaan. Dengan demikian, warga perdesaan yang hanya memiliki kemampuan terbatas tidak perlu lagi berbondong-bondong bekerja di kota besar. Kita sudah mulai dengan mendesain ulang perekonomian masyarakat kita. Sudah ada porsinya untuk melakukan perlindungan sosial guna mengurangi masyarakat kita yang tertinggal. Ini memang tidak mudah, tapi akan terus kita lakukan, tegas Hatta. (Sumber JPNN.com, 16 September 2010).

Pernyataan yang berkaitan dengan solusi fenomena algomerasi adalah...",Membuat gula-gula baru di luar wilayah Jabodetabek,Membuat gula-gula baru di wilayah Jabodetabek,Warga perdesaan yang berkemampuan tinggi boleh berbondong-bondong bekerja di kota besar,Mendorong industrialisasi dan perdagangan di wilayah perkotaan,A,1,
298,sosiologi,,umum,,"Perhatikan contoh perubahan sosial berikut!

(1) Dengan adanya bahan bakar gas, masyarakat tidak lagi meggunakan kayu bakar.
(2) Pendaftaran pasien secara online mempercepat pelayanan pasien di rumah sakit.
(3) Masyarakat lebih banyak menggunakan e-mail untuk berkirim surat/pesan.
(4) Interaksi masyarakat saat ini banyak memanfaatkan media sosial.
(5) Pesawat terbang merupakan pilihan efisien moda tranportasi masyarakat.

Faktor yang menjadi penyebab terjadinya perubahan sosial tersebut adalah ....",Adanya pengaruh masyarakat yang heterogen,Sikap manusia berorientasi pada masa depan,Sikap toleransi masyarakat terhadap perbedaan,Kesempatan yang sama dalam berbagai bidang,E,1,
299,sosiologi,,umum,,Orang yang diminta untuk memberikan jawaban dalam suatu proses penelitian disebut….,Populasi,Sampel,Subjek penelitian,Responden,D,1,
300,sosiologi,,umum,,"Berikut ini unsur-unsur budaya yang dapat mengalami perubahan, kecuali ….",Bahasa,Sistem pengetahuan,Sistem organisasi sosial,Sistem teknologi,E,1,
